S.N.,Symbol,TotalTransactions
1,GFCL,1253
2,AHPC,2214
3,STC,386
4,HPPL,465
5,SIKLES,320
6,KKHC,612
7,GLBSL,111
8,SPHL,208
9,JBBL,1304
10,GVL,616
11,SAHAS,1156
12,PROFL,2864
13,NUBL,303
14,CZBIL,1188
15,NFS,1898
16,RAWA,191
17,MBL,803
18,SADBL,1593
19,GBBL,1072
20,SKBBL,606
21,SGHC,392
22,NICA,1932
23,RFPL,581
24,NMBMF,177
25,GBIME,1764
26,NLICL,865
27,NIMB,1888
28,RHGCL,478
29,MHL,470
30,FOWAD,192
31,SHEL,2168
32,UHEWA,320
33,MHNL,378
34,NRIC,1187
35,HDL,1398
36,PHCL,1409
37,BNHC,208
38,ANLB,100
39,PRIN,578
40,ILI,2775
41,SPIL,589
42,GLH,814
43,NABIL,1631
44,KDL,472
45,MSHL,254
46,NIL,473
47,CKHL,380
48,SMATA,111
49,PFL,1721
50,GCIL,1922
51,MEHL,673
52,MMKJL,451
53,FMDBL,1022
54,NMLBBL,471
55,AHL,518
56,DHPL,831
57,PMHPL,507
58,DLBS,106
59,EDBL,433
60,MPFL,705
61,KBL,2995
62,SJCL,962
63,SCB,532
64,UMHL,736
65,NADEP,256
66,NMFBS,179
67,MKHL,362
68,PPCL,481
69,ALICL,967
70,KPCL,285
71,ENL,218
72,EHPL,180
73,NBF3,127
74,OHL,273
75,JBLB,423
76,AVYAN,288
77,PRVU,2046
78,SALICO,418
79,NWCL,912
80,NABBC,432
81,SONA,3470
82,KMCDB,242
83,DDBL,460
84,UNHPL,572
85,RADHI,1161
86,HHL,485
87,NIFRA,4955
88,PCBL,1312
89,MCHL,383
90,RNLI,3458
91,TAMOR,1032
92,SWMF,249
93,PMLI,1370
94,CORBL,155
95,CLI,3012
96,SICL,644
97,HRL,7277
98,BFC,1372
99,AKJCL,945
100,SSHL,1028
101,UAIL,1158
102,MAKAR,787
103,TVCL,661
104,BHL,319
105,SHIVM,3385
106,MKHC,641
107,IHL,427
108,ADBL,950
109,HURJA,380
110,MERO,459
111,HLBSL,484
112,ACLBSL,303
113,MFIL,1485
114,CBBL,643
115,TSHL,371
116,ULBSL,119
117,SHPC,1909
118,CITY,823
119,NSIF2,138
120,SGIC,2111
121,SRLI,2188
122,BGWT,345
123,MKJC,231
124,KSBBL,999
125,PSF,175
126,SLBBL,275
127,TPC,176
128,SAPDBL,421
129,CYCL,245
130,MHCL,973
131,AKPL,1593
132,GHL,1715
133,DORDI,523
134,SBL,508
135,MANDU,738
136,SPC,463
137,SMHL,537
138,CFCL,1451
139,MKCL,666
140,UMRH,637
141,SARBTM,1179
142,KDBY,222
143,MLBL,953
144,ULHC,748
145,SPL,678
146,RSDC,533
147,LLBS,104
148,RIDI,1071
149,CGH,628
150,NLG,589
151,ILBS,277
152,RLFL,2023
153,SIFC,1073
154,SJLIC,2448
155,LBBL,696
156,NHPC,1503
157,NLIC,1789
158,RBCL,201
159,BEDC,355
160,CHCL,1161
161,TRH,211
162,SANIMA,944
163,SMH,123
164,HDHPC,2839
165,SHL,1244
166,ALBSL,320
167,RURU,450
168,BHPL,262
169,NBL,1176
170,SHLB,122
171,SHINE,1830
172,NESDO,179
173,SMJC,1206
174,HEI,828
175,CHL,330
176,LSL,982
177,NGPL,2328
178,BARUN,814
179,HBL,740
180,NICL,1098
181,UPCL,1421
182,SPDL,1009
183,NYADI,330
184,NICSF,166
185,MLBSL,146
186,MEL,1396
187,SFCL,1298
188,CHDC,1638
189,GBLBS,538
190,MNBBL,1131
191,USHL,139
192,BPCL,798
193,DOLTI,631
194,MLBBL,125
195,HLI,3861
196,UNLB,137
197,GUFL,2079
198,MEN,1498
199,GMFIL,876
200,LEC,961
201,API,2511
202,SWBBL,390
203,UPPER,3030
204,SINDU,341
205,KBSH,114
206,JFL,1247
207,SBI,346
208,VLBS,169
209,NRM,1890
210,MDB,473
211,NICLBSL,751
212,IGI,1221
213,MBJC,1768
214,KRBL,447
215,RHPL,1768
216,NMB,885
217,HIDCL,5269
218,CIT,1186
219,EBL,685
220,VLUCL,826
221,NHDL,371
222,SNLI,2598
223,NRN,2226
224,GILB,295
225,PPL,667
226,USHEC,477
227,USLB,210
228,HATHY,2017
229,JOSHI,792
230,NTC,1261
231,ICFC,1255
232,GRDBL,241
233,BHDC,352
234,LICN,308
235,GMFBS,348
